genome_ID	NCBI_ID	OTU	novelty_category
GCF_016503565.1	545	545	known_strain
GCF_000581435.1	1310599	470	known_strain
GCF_000760575.1	202956	202956	known_strain
GCF_002119275.1	470	470	known_strain
GCF_014560135.1	470	470	known_strain
GCF_000702765.1	1408416	264636	known_strain
GCF_001729645.1	2148	2148	known_strain
GCF_015709225.1	2148	2148	known_strain
GCF_900660755.1	264636	264636	known_strain
GCF_014201465.1	265948	265948	known_strain
GCF_014890135.1	33934	33934	known_strain
GCF_014890145.1	33934	33934	known_strain
GCF_014890455.1	33934	33934	known_strain
GCF_001653715.1	427683	427683	known_strain
GCF_001981325.1	31998	31998	known_strain
GCF_002221455.1	31998	31998	known_strain
GCF_900113485.1	582675	582675	known_strain
GCF_000019905.1	262543	332410	known_strain
GCF_000620845.1	1397696	273528	known_strain
GCF_000702585.1	1397694	33987	known_strain
GCF_001766415.1	33987	33987	known_strain
GCF_000083545.1	272630	408	known_strain
GCF_000243435.1	882800	408	known_strain
GCF_002355515.1	223967	223967	known_strain
GCF_007989205.1	408	408	known_strain
GCF_000808595.1	28108	28108	known_strain
GCF_001886455.1	314275	314275	known_strain
GCF_901457775.1	28108	28108	known_strain
GCF_901457835.1	28108	28108	known_strain
GCF_001069565.1	40324	40324	known_strain
GCF_001071815.1	40324	40324	known_strain
GCF_003935615.1	40324	40324	known_strain
GCF_900095765.1	216778	216778	known_strain
GCF_000214095.2	743299	160808	known_strain
GCF_001418795.1	920	920	known_strain
GCF_001685225.1	160808	160808	known_strain
GCF_018853575.1	33059	33059	known_strain
GCF_000264825.1	1027364	636	known_strain
GCF_000341505.1	667121	636	known_strain
GCF_003074875.2	636	636	known_strain
GCF_004802505.1	1436304	636	known_strain
GCF_000380365.1	1283331	354	known_strain
GCF_004327885.1	353	353	known_strain
GCF_005144545.1	353	353	known_strain
GCF_016406165.1	353	353	known_strain
GCF_000505785.1	1415160	1061	known_strain
GCF_001402715.1	1061	1061	known_strain
GCF_005144475.1	1061	1061	known_strain
GCF_014622665.1	1061	1061	known_strain
GCF_000731865.1	738	738	known_strain
GCF_009796375.1	738	738	known_strain
GCF_009796475.1	738	738	known_strain
GCF_009797475.1	738	738	known_strain
GCF_000316195.1	1289135	1287055	known_strain
GCF_001013155.1	159	159	known_strain
GCF_001013235.1	159	159	known_strain
GCF_007595645.1	159	159	known_strain
GCF_000332915.2	1167007	714	known_strain
GCF_001596235.1	1440769	714	known_strain
GCF_001596305.1	1440770	714	known_strain
GCF_003130245.1	714	714	known_strain
GCF_001061825.1	1270	1270	known_strain
GCF_002554275.1	1270	1270	known_strain
GCF_007665885.1	1270	1270	known_strain
GCF_019748725.1	1270	1270	known_strain
GCF_000173675.1	553177	1019	known_strain
GCF_000947275.1	28188	28188	known_strain
GCF_001057035.1	1018	1018	known_strain
GCF_900460915.1	1018	1018	known_strain
GCF_001652725.1	1826909	1826909	known_strain
GCF_014200605.1	188932	188932	known_strain
GCF_900111155.1	390241	390241	known_strain
GCF_900111825.1	332999	332999	known_strain
GCF_000023865.1	471857	1852	known_strain
GCF_000236985.1	1114959	40988	known_strain
GCF_000258175.1	882086	75294	known_strain
GCF_000787535.1	1852	1852	known_strain
GCF_000162955.1	634994	157688	known_strain
GCF_000373045.1	1122172	157691	known_strain
GCF_000428965.1	1122171	157688	known_strain
GCF_007990365.1	109328	109328	known_strain
GCF_003071385.1	1335309	1335309	known_strain
GCF_012641265.1	634771	634771	known_strain
GCF_900102545.1	104663	104663	known_strain
GCF_900119105.1	1004	1004	known_strain
GCF_000191725.1	879305	33034	known_strain
GCF_000321005.1	1033733	1288120	known_strain
